text,station,measurand,calculation,representation
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus DEBW087.",DEBW087,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW087.",DEBW087,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW087.",DEBW087,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Schwäbische Alb.",Schwäbische Alb,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Schwäbische Alb.",Schwäbische Alb,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Schwäbische Alb.",Schwäbische Alb,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Schwäbische Alb.",Schwäbische Alb,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Schwäbische Alb.",Schwäbische Alb,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus DEBW031.",DEBW031,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus DEBW031.",DEBW031,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW031.",DEBW031,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW031.",DEBW031,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW031.",DEBW031,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Schwarzwald-Süd.",Schwarzwald-Süd,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Schwarzwald-Süd.",Schwarzwald-Süd,Ozonwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus DEBW118.",DEBW118,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Stuttgart Am Neckartor.",Stuttgart Am Neckartor,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Stuttgart Am Neckartor.",Stuttgart Am Neckartor,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Stuttgart Am Neckartor.",Stuttgart Am Neckartor,Ozonwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus DEBW099.",DEBW099,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW099.",DEBW099,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW099.",DEBW099,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW099.",DEBW099,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Stuttgart Arnulf-Klett-Platz.",Stuttgart Arnulf-Klett-Platz,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Stuttgart Arnulf-Klett-Platz.",Stuttgart Arnulf-Klett-Platz,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Stuttgart Arnulf-Klett-Platz.",Stuttgart Arnulf-Klett-Platz,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Stuttgart Arnulf-Klett-Platz.",Stuttgart Arnulf-Klett-Platz,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus DEBW013.",DEBW013,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus DEBW013.",DEBW013,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW013.",DEBW013,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW013.",DEBW013,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus DEBW013.",DEBW013,Ozonwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Stuttgart-Bad Cannstatt.",Stuttgart-Bad Cannstatt,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Stuttgart-Bad Cannstatt.",Stuttgart-Bad Cannstatt,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Stuttgart-Bad Cannstatt.",Stuttgart-Bad Cannstatt,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Stuttgart-Bad Cannstatt.",Stuttgart-Bad Cannstatt,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Stuttgart-Bad Cannstatt.",Stuttgart-Bad Cannstatt,Ozonwerte,,Liste
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus LUBW082.",LUBW082,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Stuttgart Hauptstätter Straße.",Stuttgart Hauptstätter Straße,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Stuttgart Hauptstätter Straße.",Stuttgart Hauptstätter Straße,Ozonwerte,,Liste
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus DEBW116.",DEBW116,Ozonwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Stuttgart Hohenheimer Straße.",Stuttgart Hohenheimer Straße,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Stuttgart Hohenheimer Straße.",Stuttgart Hohenheimer Straße,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Stuttgart Hohenheimer Straße.",Stuttgart Hohenheimer Straße,Ozonwerte,,Liste
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus DEBW059.",DEBW059,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW059.",DEBW059,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW059.",DEBW059,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus DEBW059.",DEBW059,Ozonwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Tauberbischofsheim.",Tauberbischofsheim,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Tauberbischofsheim.",Tauberbischofsheim,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Tauberbischofsheim.",Tauberbischofsheim,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Tauberbischofsheim.",Tauberbischofsheim,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Tauberbischofsheim.",Tauberbischofsheim,Ozonwerte,,Liste
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW107.",DEBW107,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Tübingen.",Tübingen,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Tübingen.",Tübingen,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Tübingen.",Tübingen,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Tübingen.",Tübingen,Ozonwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus DEBW136.",DEBW136,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW136.",DEBW136,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus DEBW136.",DEBW136,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW136.",DEBW136,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Tübingen Mühlstraße.",Tübingen Mühlstraße,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Tübingen Mühlstraße.",Tübingen Mühlstraße,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Tübingen Mühlstraße.",Tübingen Mühlstraße,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Tübingen Mühlstraße.",Tübingen Mühlstraße,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus DEBW019.",DEBW019,Ozonwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Ulm.",Ulm,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Ulm.",Ulm,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus Ulm.",Ulm,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW039.",DEBW039,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW039.",DEBW039,Ozonwerte,,Tabelle
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus Villingen-Schwenningen.",Villingen-Schwenningen,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Villingen-Schwenningen.",Villingen-Schwenningen,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Villingen-Schwenningen.",Villingen-Schwenningen,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW023.",DEBW023,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Tabelle der Ozonwerte der letzten Woche aus DEBW023.",DEBW023,Ozonwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Weil am Rhein.",Weil am Rhein,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Tabelle der Luftqualitätsindexwerte der letzten Woche aus DEBW010.",DEBW010,Luftqualitätsindexwerte,,Tabelle
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus DEBW010.",DEBW010,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Luftqualitätsindexwerte der letzten Woche aus Wiesloch.",Wiesloch,Luftqualitätsindexwerte,,Liste
"Zeig mir eine Tabelle der Stickstoffdioxidwerte der letzten Woche aus Wiesloch.",Wiesloch,Stickstoffdioxidwerte,,Tabelle
"Zeig mir eine Liste der Stickstoffdioxidwerte der letzten Woche aus Wiesloch.",Wiesloch,Stickstoffdioxidwerte,,Liste
"Zeig mir eine Liste der Ozonwerte der letzten Woche aus Wiesloch.",Wiesloch,Ozonwerte,,Liste
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus DEBW029.",DEBW029,luqx,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW029.",DEBW029,pm10,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Aalen.",Aalen,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Aalen.",Aalen,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Aalen.",Aalen,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Aalen.",Aalen,pm10,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus DEBW076.",DEBW076,luqx,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW076.",DEBW076,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Baden-Baden.",Baden-Baden,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Baden-Baden.",Baden-Baden,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Baden-Baden.",Baden-Baden,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Baden-Baden.",Baden-Baden,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Baden-Baden.",Baden-Baden,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus DEBW042.",DEBW042,luqx,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus DEBW042.",DEBW042,no2,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW042.",DEBW042,Ozon,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Bernhausen.",Bernhausen,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Bernhausen.",Bernhausen,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Bernhausen.",Bernhausen,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Bernhausen.",Bernhausen,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Bernhausen.",Bernhausen,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Bernhausen.",Bernhausen,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus DEBW046.",DEBW046,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW046.",DEBW046,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW046.",DEBW046,o3,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW046.",DEBW046,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Biberach.",Biberach,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Biberach.",Biberach,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Biberach.",Biberach,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Biberach.",Biberach,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Biberach.",Biberach,o3,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Biberach.",Biberach,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW004.",DEBW004,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW004.",DEBW004,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW004.",DEBW004,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW004.",DEBW004,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW004.",DEBW004,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW004.",DEBW004,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Eggenstein.",Eggenstein,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Eggenstein.",Eggenstein,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Eggenstein.",Eggenstein,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW084.",DEBW084,Ozon,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Freiburg.",Freiburg,luqx,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Freiburg.",Freiburg,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Freiburg.",Freiburg,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Freiburg.",Freiburg,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Freiburg.",Freiburg,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Freiburg.",Freiburg,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW122.",DEBW122,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW122.",DEBW122,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW122.",DEBW122,o3,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW122.",DEBW122,pm25k,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Freiburg Schwarzwaldstraße.",Freiburg Schwarzwaldstraße,o3,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Freiburg Schwarzwaldstraße.",Freiburg Schwarzwaldstraße,pm10,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus DEBW038.",DEBW038,no2,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW038.",DEBW038,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW038.",DEBW038,Ozon,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Friedrichshafen.",Friedrichshafen,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Friedrichshafen.",Friedrichshafen,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Friedrichshafen.",Friedrichshafen,o3,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Friedrichshafen.",Friedrichshafen,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Friedrichshafen.",Friedrichshafen,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW112.",DEBW112,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW112.",DEBW112,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW112.",DEBW112,Ozon,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW112.",DEBW112,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Gärtringen.",Gärtringen,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Gärtringen.",Gärtringen,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Gärtringen.",Gärtringen,no2,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Gärtringen.",Gärtringen,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Gärtringen.",Gärtringen,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Gärtringen.",Gärtringen,pm10,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW009.",DEBW009,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW009.",DEBW009,o3,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW009.",DEBW009,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW009.",DEBW009,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Heidelberg.",Heidelberg,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Heidelberg.",Heidelberg,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Heidelberg.",Heidelberg,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Heidelberg.",Heidelberg,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Heidelberg.",Heidelberg,pm25k,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW015.",DEBW015,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW015.",DEBW015,pm10,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Heilbronn.",Heilbronn,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Heilbronn.",Heilbronn,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Heilbronn.",Heilbronn,pm25k,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus DEBW152.",DEBW152,no2,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW152.",DEBW152,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW152.",DEBW152,Ozon,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Heilbronn Weinsberger Straße-Ost.",Heilbronn Weinsberger Straße-Ost,no2,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Heilbronn Weinsberger Straße-Ost.",Heilbronn Weinsberger Straße-Ost,o3,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Heilbronn Weinsberger Straße-Ost.",Heilbronn Weinsberger Straße-Ost,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Heilbronn Weinsberger Straße-Ost.",Heilbronn Weinsberger Straße-Ost,pm10,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus DEBW081.",DEBW081,luqx,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW081.",DEBW081,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW081.",DEBW081,o3,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Karlsruhe-Nordwest.",Karlsruhe-Nordwest,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Karlsruhe-Nordwest.",Karlsruhe-Nordwest,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus Karlsruhe-Nordwest.",Karlsruhe-Nordwest,Ozon,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Karlsruhe-Nordwest.",Karlsruhe-Nordwest,pm10,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW080.",DEBW080,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW080.",DEBW080,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der Ozon Werte der letzten Woche aus DEBW080.",DEBW080,Ozon,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW080.",DEBW080,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Karlsruhe Reinhold-Frank-Straße.",Karlsruhe Reinhold-Frank-Straße,luqx,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Karlsruhe Reinhold-Frank-Straße.",Karlsruhe Reinhold-Frank-Straße,no2,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Karlsruhe Reinhold-Frank-Straße.",Karlsruhe Reinhold-Frank-Straße,pm10,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW022.",DEBW022,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW022.",DEBW022,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW022.",DEBW022,o3,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW022.",DEBW022,pm10,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus Kehl.",Kehl,no2,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Kehl.",Kehl,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus Kehl.",Kehl,pm10,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus DEBW052.",DEBW052,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der pm10 Werte der letzten Woche aus DEBW052.",DEBW052,pm10,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW052.",DEBW052,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Konstanz.",Konstanz,luqx,,Graphen
"Zeig mir einen Graphen der Stickstoffdioxid Werte der letzten Woche aus Konstanz.",Konstanz,Stickstoffdioxid,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus DEBW120.",DEBW120,no2,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW120.",DEBW120,pm25k,,Graphen
"Zeig mir einen Graphen der luqx Werte der letzten Woche aus Leonberg Grabenstraße.",Leonberg Grabenstraße,luqx,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Leonberg Grabenstraße.",Leonberg Grabenstraße,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus Leonberg Grabenstraße.",Leonberg Grabenstraße,o3,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus Leonberg Grabenstraße.",Leonberg Grabenstraße,pm25k,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW024.",DEBW024,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der o3 Werte der letzten Woche aus DEBW024.",DEBW024,o3,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus Ludwigsburg.",Ludwigsburg,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der Luftqualitätsindex Werte der letzten Woche aus DEBW241.",DEBW241,Luftqualitätsindex,,Graphen
"Zeig mir einen Graphen der no2 Werte der letzten Woche aus DEBW241.",DEBW241,no2,,Graphen
"Zeig mir einen Graphen der pm25k Werte der letzten Woche aus DEBW241.",DEBW241,pm25k,,Graphen
